PTA_Cmin_75,PTA_Cmin_80,PTA_fAUC_200,PTA_fAUC_400,DAY,CKDEPI,Regimen
99.975,7.74,100,100,6,5,3
99.995,11.155,99.98,98.89,7,5,3
100,32.77,100,100,13,5,3
100,35.67,100,99.94,14,5,3
97.14,0.005,94.64,57.585,1,15,3
99.095,0.075,98.49,75.645,2,15,3
99.975,2.165,100,100,6,15,3
99.97,3.245,99.95,97.445,7,15,3
100,10.86,100,100,13,15,3
100,12.28,100,99.445,14,15,3
97.275,0,95.09,58.88,1,25,3
99.085,0.02,98.505,75.11,2,25,3
99.905,0.94,100,100,6,25,3
99.91,1.45,99.96,95.38,7,25,3
99.915,5.08,100,100,13,25,3
99.92,5.76,99.98,97.85,14,25,3
96.55,0,94.36,56.695,1,35,3
98.645,0.015,98.005,71.22,2,35,3
99.71,0.53,100,100,6,35,3
99.74,0.765,99.945,91.945,7,35,3
99.785,2.675,100,100,13,35,3
99.83,2.91,99.975,95.225,14,35,3
96.58,0,94.47,54.315,1,45,3
98.495,0.015,98.085,68.29,2,45,3
99.46,0.265,100,99.995,6,45,3
99.49,0.485,99.785,88.355,7,45,3
99.485,1.38,100,100,13,45,3
99.41,1.54,99.835,91.86,14,45,3
96.085,0,93.845,52.795,1,55,3
98,0.01,97.56,65.115,2,55,3
99.08,0.18,100,99.995,6,55,3
99.02,0.25,99.59,84.18,7,55,3
99.1,0.94,100,100,13,55,3
99.07,1.1,99.69,88.085,14,55,3
95.78,0,93.79,51.965,1,65,3
97.595,0.005,97.48,62.97,2,65,3
98.225,0.105,100,100,6,65,3
98.275,0.135,99.255,80.11,7,65,3
98.405,0.51,100,100,13,65,3
98.375,0.59,99.355,84.045,14,65,3
96.1,0,94.415,53.39,1,75,3
97.38,0,97.56,62.09,2,75,3
97.635,0.05,100,99.995,6,75,3
97.72,0.11,99.15,76.005,7,75,3
97.765,0.36,100,100,13,75,3
97.665,0.41,99.21,79.7,14,75,3
95.24,0,93.945,50.49,1,85,3
96.36,0,96.96,58.465,2,85,3
96.98,0.045,100,99.99,6,85,3
96.73,0.05,98.54,71.925,7,85,3
96.82,0.245,100,100,13,85,3
96.91,0.3,98.635,75.73,14,85,3
94.975,0,93.245,49.24,1,95,3
95.845,0,96.64,55.95,2,95,3
95.8,0.045,100,99.99,6,95,3
95.77,0.07,98.055,67.76,7,95,3
95.74,0.185,100,100,13,95,3
95.845,0.185,98.21,71.655,14,95,3
94.91,0,93.7,49.44,1,105,3
95.14,0,96.525,54.305,2,105,3
94.57,0.015,100,99.985,6,105,3
94.56,0.02,97.475,63.44,7,105,3
94.685,0.125,100,100,13,105,3
94.755,0.16,97.62,67.185,14,105,3
94.46,0,93.39,48.43,1,115,3
94.59,0.005,96.255,52.165,2,115,3
93.375,0.025,100,99.965,6,115,3
93.18,0.055,96.89,60.12,7,115,3
93.18,0.12,100,100,13,115,3
93.41,0.16,96.92,63.935,14,115,3
93.745,0,93.125,47.35,1,125,3
93.4,0,95.705,50.155,2,125,3
91.81,0.01,100,99.95,6,125,3
92.055,0.005,95.79,56.735,7,125,3
91.995,0.085,100,100,13,125,3
92.19,0.075,95.955,60,14,125,3
93.69,0,93.085,46.605,1,135,3
92.44,0.005,95.29,48.52,2,135,3
90.495,0.005,100,99.91,6,135,3
90.415,0.02,95.235,53.69,7,135,3
90.675,0.065,100,100,13,135,3
90.475,0.09,95.385,56.915,14,135,3
93.585,0,93.38,47.335,1,145,3
92.12,0,95.305,47.14,2,145,3
89.105,0.03,100,99.88,6,145,3
89.225,0,94.475,51.23,7,145,3
89.275,0.055,100,99.995,13,145,3
89.06,0.075,94.605,53.985,14,145,3
92.75,0,92.78,45.685,1,155,3
90.71,0,94.51,45.305,2,155,3
87.7,0.01,100,99.885,6,155,3
87.71,0.015,93.355,48.105,7,155,3
87.885,0.04,100,100,13,155,3
87.57,0.055,93.43,50.8,14,155,3
92.045,0,92.57,44.54,1,165,3
89.95,0,94.155,43.065,2,165,3
86.705,0.01,100,99.86,6,165,3
86.25,0.015,92.695,45.615,7,165,3
86.49,0.02,100,100,13,165,3
86.72,0.045,92.815,48.455,14,165,3
92.025,0,92.71,43.885,1,175,3
88.635,0,93.865,41.575,2,175,3
85.005,0,100,99.85,6,175,3
84.87,0.01,91.73,42.95,7,175,3
84.895,0,100,99.99,13,175,3
85.065,0.015,91.81,45.405,14,175,3
91.27,0,92.385,43.495,1,185,3
87.695,0,93.09,39.845,2,185,3
83.155,0.005,100,99.805,6,185,3
82.925,0.01,90.315,40.525,7,185,3
83.165,0.02,100,99.985,13,185,3
83.17,0.035,90.465,42.86,14,185,3
