Estimates,RSE,Parameters,Model
0.233,18.8,IIV_CLr,26
0.22,19.7,IIV_CLr,27
0.223,19.8,IIV_CLr,28
0.22,20.3,IIV_CLr,29
0.232,19.1,IIV_CLr,30
0.314,20.5,IIV_V1,21
0.316,21,IIV_V1,22
0.304,21.2,IIV_V1,23
0.316,20.8,IIV_V1,24
0.312,21.3,IIV_V1,25
0.309,20.9,IIV_V1,26
0.311,21.1,IIV_V1,27
0.313,21.2,IIV_V1,28
0.309,20.8,IIV_V1,29
0.313,20.7,IIV_V1,30
0.0274,13.6,PropErr,21
0.0274,13.6,PropErr,22
0.0278,13.6,PropErr,23
0.0274,13.4,PropErr,24
0.0278,13.5,PropErr,25
0.0278,13.4,PropErr,26
0.0278,13.5,PropErr,27
0.0276,13.6,PropErr,28
0.0278,13.5,PropErr,29
0.0276,13.4,PropErr,30
1.56,10.1,CLcrrt,31
1.57,10,CLcrrt,32
1.56,9.9,CLcrrt,33
1.56,10,CLcrrt,34
1.56,10.1,CLcrrt,35
1.56,10,CLcrrt,36
1.57,9.9,CLcrrt,37
1.56,10.1,CLcrrt,38
1.56,10.1,CLcrrt,39
1.56,10,CLcrrt,40
0.606,5,CLr,31
0.617,5.2,CLr,32
0.616,5.2,CLr,33
0.601,5.2,CLr,34
0.625,5.2,CLr,35
0.616,5.5,CLr,36
0.615,5,CLr,37
0.616,5.1,CLr,38
0.628,5,CLr,39
0.624,5.4,CLr,40
39.6,7.7,V1,31
39.5,9,V1,32
39,8.3,V1,33
39.8,9.2,V1,34
39,7.8,V1,35
39.4,8.8,V1,36
39.3,8.5,V1,37
39.9,8.3,V1,38
39.1,8.6,V1,39
38.9,7.9,V1,40
12.1,31.7,Q,31
12.2,42.5,Q,32
12.4,36.9,Q,33
12,43.1,Q,34
12.3,29.6,Q,35
12,42.5,Q,36
12.5,38.3,Q,37
11.9,38.7,Q,38
12.2,40.2,Q,39
12.3,30.8,Q,40
8.38,32.5,V2,31
8.43,38,V2,32
8.41,35.9,V2,33
8.46,38.9,V2,34
8.53,31.9,V2,35
8.33,38.5,V2,36
8.52,35.4,V2,37
8.63,34.3,V2,38
8.41,36.7,V2,39
8.45,32.8,V2,40
0.573,22.9,CKDEPI,31
0.532,34.4,CKDEPI,32
0.456,37.1,CKDEPI,33
0.615,24.7,CKDEPI,34
0.435,57.7,CKDEPI,35
0.469,37.3,CKDEPI,36
0.535,25.8,CKDEPI,37
0.689,21,CKDEPI,38
0.424,44.3,CKDEPI,39
0.352,86.9,CKDEPI,40
0.903,22.1,BW,31
0.887,25.4,BW,32
0.915,22.5,BW,33
0.907,24.8,BW,34
0.913,21.8,BW,35
0.897,24.4,BW,36
0.907,23.8,BW,37
0.897,23.5,BW,38
0.899,23.1,BW,39
0.926,21.8,BW,40
0.281,42.7,IIV_CLcrrt,31
0.28,42.5,IIV_CLcrrt,32
0.282,41.8,IIV_CLcrrt,33
0.285,42.1,IIV_CLcrrt,34
0.283,42,IIV_CLcrrt,35
0.282,41.8,IIV_CLcrrt,36
0.279,42.7,IIV_CLcrrt,37
0.283,43.1,IIV_CLcrrt,38
0.284,41.5,IIV_CLcrrt,39
0.279,41.9,IIV_CLcrrt,40
0.204,20.9,IIV_CLr,31
0.213,20.5,IIV_CLr,32
0.223,19.3,IIV_CLr,33
0.216,19.9,IIV_CLr,34
0.223,19.9,IIV_CLr,35
0.23,19.2,IIV_CLr,36
0.212,20.6,IIV_CLr,37
0.226,20.4,IIV_CLr,38
0.219,19.9,IIV_CLr,39
0.226,21,IIV_CLr,40
0.316,20.4,IIV_V1,31
0.313,21.3,IIV_V1,32
0.312,21.2,IIV_V1,33
0.312,21.6,IIV_V1,34
0.306,20.9,IIV_V1,35
0.31,21.6,IIV_V1,36
0.318,21,IIV_V1,37
0.316,21,IIV_V1,38
0.308,21,IIV_V1,39
0.306,20.7,IIV_V1,40
0.0276,13.6,PropErr,31
0.0278,13.5,PropErr,32
0.0278,13.4,PropErr,33
0.0275,13.4,PropErr,34
0.0279,13.5,PropErr,35
0.0276,13.6,PropErr,36
0.0277,13.5,PropErr,37
0.0271,13.7,PropErr,38
0.0279,13.4,PropErr,39
0.0281,13.3,PropErr,40
1.56,10.1,CLcrrt,41
1.57,10,CLcrrt,42
1.56,10.1,CLcrrt,43
1.56,9.9,CLcrrt,44
1.56,10,CLcrrt,45
1.56,10,CLcrrt,46
1.57,9.8,CLcrrt,47
1.56,10,CLcrrt,48
1.56,10,CLcrrt,49
