PTA_Cmin_75,PTA_Cmin_80,PTA_fAUC_200,PTA_fAUC_400,DAY,BW
96.261,0.107,100,99.964,6,110
96.317,0.18,97.917,69.993,7,110
96.509,0.803,100,99.996,13,110
96.557,0.898,98.137,75.649,14,110
91.258,0,87.857,36.868,1,115
94.168,0.003,93.826,46.856,2,115
95.998,0.1,100,99.953,6,115
96.082,0.164,97.54,67.491,7,115
96.246,0.753,100,99.999,13,115
96.296,0.843,97.846,73.648,14,115
90.382,0,86.505,34.28,1,120
93.712,0,92.988,44.689,2,120
96.318,0.072,100,99.967,6,120
96.356,0.12,97.627,67.196,7,120
96.576,0.632,100,100,13,120
96.62,0.719,97.986,74.17,14,120
90.028,0,85.291,32.933,1,125
93.892,0.004,92.639,44.458,2,125
96.997,0.078,100,99.971,6,125
97.038,0.139,98.039,69.373,7,125
97.365,0.678,100,99.999,13,125
97.41,0.74,98.449,77.05,14,125
88.949,0,83.896,30.588,1,130
93.12,0.001,91.688,41.806,2,130
96.381,0.075,100,99.951,6,130
96.57,0.133,97.561,67.33,7,130
96.886,0.734,100,99.999,13,130
96.894,0.826,98.027,75.43,14,130
87.732,0,82.182,28.165,1,135
92.533,0.001,90.673,39.126,2,135
96.556,0.058,99.998,99.958,6,135
96.637,0.088,97.54,65.65,7,135
97.038,0.564,100,99.998,13,135
97.072,0.656,98.117,74.468,14,135
86.674,0,80.582,26.456,1,140
91.846,0.002,89.723,37.816,2,140
96.528,0.06,100,99.948,6,140
96.733,0.109,97.451,65.613,7,140
97.139,0.608,100,100,13,140
97.195,0.716,98.112,75.01,14,140
85.756,0,79.319,24.685,1,145
91.448,0.002,89.074,35.889,2,145
96.592,0.058,100,99.955,6,145
96.845,0.092,97.45,64.462,7,145
97.324,0.587,100,99.999,13,145
97.363,0.678,98.186,74.513,14,145
84.962,0,77.736,23.635,1,150
91.161,0,88.428,35.136,2,150
96.876,0.06,100,99.944,6,150
97.15,0.085,97.586,65.353,7,150
97.63,0.564,100,100,13,150
97.732,0.648,98.359,76.073,14,150
