threshold,specificity,sensitivity
92.3,0.532362607266752,0.716451008698568
91.95,0.536333759357312,0.711427963831623
91.65,0.537155377031222,0.710423968297461
91.35,0.540213620595216,0.709470070300135
91.25,0.541354756253423,0.70847323155695
91,0.542267664779989,0.707471280820209
90.75,0.542997991601242,0.706465240488625
90.55,0.543956545554136,0.705464312150595
90.35,0.545280262917656,0.704471563002253
90.15,0.546969143691802,0.703486993043599
89.8,0.637803542085083,0.634976055422189
89.4,0.64026839510681,0.632986467530662
89.1,0.642596311849553,0.632016211153961
88.55,0.643372284097133,0.631011193221088
87.95,0.645700200839876,0.629018538133427
87.6,0.648712798977542,0.628063617737391
87.35,0.649716998356765,0.627063711798072
87.2,0.650721197735987,0.626063805858754
87.05,0.651725397115209,0.625063899919435
86.95,0.661219645791492,0.617097369163637
86.75,0.663045462844623,0.615093467690156
86.35,0.663775789665875,0.614087427358572
86.05,0.665875479276976,0.612089660277356
85.95,0.673270038342158,0.605098497891814
85.8,0.673954719737082,0.604091435161519
85.45,0.675415373379587,0.60310175320931
85.15,0.677515062990688,0.601103986128094
85.05,0.678382326090926,0.600101012992643
84.85,0.70430892824539,0.575121767686475
84.5,0.705084900492971,0.574116749753602
83.95,0.70590651816688,0.57311275421944
83.45,0.706773781267117,0.572109781083988
83.15,0.707777980646339,0.571109875144669
82.95,0.712251232426511,0.568142874085464
82.8,0.712935913821435,0.567135811355169
82.5,0.713940113200657,0.56613590541585
82.25,0.714853021727223,0.56513395467911
82.15,0.715492057695819,0.564125869550104
82.05,0.716176739090743,0.563118806819808
81.95,0.721517253971152,0.555059237781313
81.75,0.722293226218733,0.55405421984844
81.55,0.72343436187694,0.552034982394294
81.3,0.724210334124521,0.551029964461421
81.05,0.724986306372101,0.550024946528547
80.95,0.737264926054409,0.540075984672199
80.85,0.73776702574402,0.539064832347059
80.75,0.738360416286288,0.538055724819342
80.65,0.739547197370823,0.537059908474867
80.55,0.740140587913091,0.53605080094715
80.3,0.743700931166697,0.534085750624686
80.05,0.744522548840606,0.533081755090523
79.95,0.800255614387438,0.460717396727506
79.85,0.801122877487676,0.458692024881095
79.75,0.801898849735256,0.457687006948222
79.65,0.804591929888625,0.456724929761209
79.45,0.805870001825817,0.455731158214156
79.15,0.806098228957458,0.454713871496751
78.85,0.807969691436918,0.449643796289102
78.35,0.808289209421216,0.448628554369119
